tweet_id,llm_judge,human_a,human_b
445634,5,5,5
2954491,3,3,3
2945615,5,5,4
2288850,4,4,3
2473479,5,5,5
2240645,4,4,4
896707,5,5,5
805592,4,4,4
686,3,3,3
651734,4,4,5
1126657,5,5,5
490484,5,5,5
801657,5,5,5
1916339,1,1,1
1622228,2,2,3
15704,4,4,4
423822,4,4,4
1374083,5,4,4
431628,4,4,4
605044,5,5,5
224569,4,4,3
988115,5,5,5
162100,4,4,4
1935112,5,5,5
152203,5,5,5
2598390,4,4,5
825082,2,1,1
500714,3,3,3
2766984,4,4,4
2457818,4,4,4
326306,5,5,5
469468,5,5,5
1576291,4,4,5
445473,5,5,5
2617260,3,3,3
1150906,5,5,5
199241,3,3,3
1125345,5,5,5
793330,3,3,3
1622297,5,5,5
2677347,5,5,5
2907853,5,5,5
665612,5,5,5
2895952,5,5,5
2549002,5,5,5
281679,4,4,4
247442,5,5,5
1263971,2,1,1
2919856,1,1,1
1332722,5,5,4
